position,bending_max,bending_min,shear_max,shear_min
23.1,25920,,2600,-2489
32.2,38850,,2600,-2489
41.3,53150,,2600,-2489
49.7,65245,,2600,-2489
60.2,74741,,2600,-2489
88.9,74741,,2600,-2489
133.0,19830,,2600,-2489
