displacement,cumulative_buoyancy
10000,9464.4
10000,9492.4
10000,9519.4
10000,9545.5
10000,9570.6
10000,9594.7
10000,9618
10000,9640.2
10000,9661.6
10000,9681.9
10000,9701.4
10000,9720
10000,9737.8
10000,9754.8
10000,9771.1
10000,9786.7
10000,9801.6
10000,9815.9
10000,9826.9
10000,9833.8
10000,9840.2
10000,9849.6
10000,9861.2
10000,9872.4
10000,9883.1
10000,9893.5
10000,9903.6
10000,9913.3
10000,9922.8
10000,9933.3
10000,9943.3
10000,9952.7
10000,9961.7
10000,9970.1
10000,9978
10000,9985.3
10000,9990.3
10000,9994.3
10000,9997.4
10000,9999.5
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
12000,0
12000,0
12000,0
12000,0
12000,0
12000,0
12000,3.6
12000,8.2
12000,12.9
12000,17.5
12000,22.1
12000,25.5
12000,27.2
12000,28.4
12000,29.2
12000,30.7
12000,32.7
12000,35.2
12000,38.4
12000,42.4
12000,47.5
12000,53.8
12000,61.5
12000,71.2
12000,81.9
12000,93.8
12000,108.8
12000,127.3
12000,147.9
12000,170.7
12000,195.6
12000,222.7
12000,251.9
12000,283.2
12000,316.7
12000,352.3
12000,390
12000,429.7
12000,471.2
12000,514.3
12000,559.2
12000,605.7
12000,653.9
12000,703.9
12000,755.5
12000,808.6
12000,863
12000,918.7
12000,975.8
12000,1034.3
12000,1094.1
12000,1155.2
12000,1217.6
12000,1281.1
12000,1345.6
12000,1411.1
12000,1477.7
12000,1535.8
12000,1595
12000,1664.7
12000,1735.4
12000,1806.8
12000,1879
12000,1951.9
12000,2025.7
12000,2091.9
12000,2159
12000,2226.7
12000,2303.4
12000,2380.6
12000,2458.4
12000,2536.8
12000,2615.8
12000,2695.3
12000,2775.4
12000,2856
12000,2936.9
12000,3018.2
12000,3099.9
12000,3182
12000,3264.5
12000,3347.4
12000,3430.5
12000,3513.8
12000,3597.3
12000,3680.8
12000,3764.5
12000,3848.3
12000,3932.3
12000,4016.3
12000,4100.5
12000,4184.8
12000,4269.2
12000,4353.7
12000,4438.2
12000,4522.7
12000,4607.2
12000,4691.7
12000,4776.1
12000,4860.6
12000,4945.2
12000,5029.7
12000,5114.2
12000,5198.7
12000,5283.2
12000,5367.7
12000,5452.2
12000,5536.7
12000,5621.2
12000,5705.8
12000,5790.3
12000,5874.8
12000,5959.3
12000,6043.8
12000,6128.3
