displacement,lcf,kmt,draft,gm,kg,lcb
13105.03,68.269,9.497,6.2,0.15,9.361,72.945
13156.59,68.198,9.495,6.22,0.15,9.3594,72.927
13208.21,68.102,9.493,6.24,0.15,9.3578,72.908
13259.92,68.029,9.492,6.26,0.06888,9.31684,72.889
13311.72,67.932,9.49,6.28,0.07564,9.31852,72.870
13363.59,67.856,9.489,6.3,0.0824,9.3202,72.851
13415.55,67.761,9.488,6.32,0.08916,9.32188,72.831
13467.58,67.677,9.487,6.34,0.09592,9.32356,72.812
13519.71,67.584,9.486,6.36,0.10268,9.32524,72.792
13571.93,67.49,9.486,6.38,0.10944,9.32692,72.772
13624.23,67.391,9.485,6.4,0.1162,9.3286,72.751
13676.63,67.283,9.485,6.42,0.12296,9.33028,72.730
13729.14,67.17,9.485,6.44,0.12972,9.33196,72.709
13781.74,67.091,9.485,6.46,0.13648,9.33364,72.688
13834.42,66.966,9.486,6.48,0.14324,9.33532,72.666
13887.22,66.851,9.487,6.5,0.15,9.337,72.644
13940.11,66.773,9.488,6.52,0.15676,9.33868,72.622
13993.07,66.666,9.489,6.54,0.16352,9.34036,72.600
