displacement,cumulative_buoyancy
21060,5896.2
21060,6012.1
21060,6128
21060,6243.9
21060,6359.9
21060,6475.9
21060,6591.9
21060,6707.9
21060,6824
21060,6940.1
21060,7056.2
21060,7172.3
21060,7288.5
21060,7404.6
21060,7520.9
21060,7637.1
21060,7753.4
21060,7869.7
21060,7986
21060,8102.3
21060,8218.7
21060,8335.1
21060,8451.5
21060,8567.9
21060,8684.4
21060,8800.9
21060,8917.4
21060,9033.9
21060,9150.4
21060,9266.8
21060,9383
21060,9499.2
21060,9615.2
21060,9731.1
21060,9846.9
21060,9962.6
21060,10078.2
21060,10193.6
21060,10309
21060,10424.2
21060,10539.4
21060,10654.4
21060,10769.3
21060,10884.1
21060,10998.8
21060,11113.4
21060,11227.9
21060,11342.3
21060,11456.5
21060,11570.6
21060,11684.7
21060,11798.6
21060,11912.4
21060,12026.1
21060,12139.7
21060,12253.2
21060,12366.5
21060,12479.8
21060,12592.9
21060,12705.6
21060,12817.7
21060,12929.2
21060,13040.1
21060,13150.5
21060,13260.4
21060,13369.6
21060,13478.3
21060,13586.5
21060,13694
21060,13801.1
21060,13907.5
21060,14013.4
21060,14118.7
21060,14223.4
21060,14327.6
21060,14431.2
21060,14534.3
21060,14636.8
21060,14738.7
21060,14840
21060,14940.8
21060,15041
21060,15140.7
21060,15239.8
21060,15338.3
21060,15436.3
21060,15533.7
21060,15630.5
21060,15726.8
21060,15822.5
21060,15917.3
21060,16011.3
21060,16104.4
21060,16196.6
21060,16287.9
21060,16378.3
21060,16467.8
21060,16556.5
21060,16644.3
21060,16731.1
21060,16817.1
21060,16902.3
21060,16986.5
21060,17069.8
21060,17152.3
21060,17233.8
21060,17314.5
21060,17394.3
21060,17473.2
21060,17551.3
21060,17628.4
21060,17704.7
21060,17780
21060,17854.5
21060,17928.1
21060,18000.8
21060,18072.7
21060,18143.6
21060,18213.7
21060,18282.8
21060,18351.1
21060,18418.5
21060,18484.9
21060,18550.5
21060,18615.1
21060,18678.8
21060,18741.5
21060,18803.4
21060,18864.3
21060,18924.4
21060,18983.4
21060,19041.6
21060,19098.9
21060,19155.2
21060,19210.6
21060,19265.1
21060,19318.7
21060,19371.4
21060,19423.1
21060,19473.9
21060,19523.8
21060,19572.8
21060,19620.9
21060,19668
21060,19714.3
21060,19759.6
21060,19803.9
21060,19847.4
21060,19890
21060,19931.6
21060,19972.3
21060,20012.1
21060,20051
21060,20089.2
21060,20126.4
21060,20162.9
21060,20198.4
21060,20233.2
21060,20267.1
21060,20300.2
21060,20332.4
21060,20363.8
21060,20394.3
21060,20424
21060,20452.9
21060,20480.9
21060,20508.1
21060,20534.5
21060,20560.2
21060,20585.1
21060,20609.4
21060,20632.9
21060,20655.8
21060,20677.9
21060,20699.3
21060,20720
21060,20739.9
21060,20759.2
21060,20777.7
21060,20795.6
21060,20806.1
21060,20815.5
21060,20824.6
21060,20839.6
21060,20854.1
21060,20868.1
21060,20875.9
21060,20882.6
21060,20889.3
21060,20901.1
21060,20912.4
21060,20923.2
21060,20933.7
21060,20943.9
21060,20953.7
21060,20963.3
21060,20972.4
21060,20981.3
21060,20989.9
21060,20998.2
21060,21006.2
21060,21013.9
21060,21021.4
21060,21028.6
21060,21035.6
21060,21042.2
21060,21047.8
21060,21052.5
21060,21056.1
21060,21058.7
21060,21060.2
21060,21060.7
21060,21060.5
21060,21060.4
22060,0
22060,0
22060,0
22060,0
22060,0
22060,0
22060,0
22060,0
22060,0
22060,2.7
22060,5.5
22060,8.2
22060,11
22060,13.7
22060,16.5
22060,19.2
22060,22
22060,24.7
22060,27.5
22060,30.4
22060,33.5
22060,37
22060,41
22060,45.8
22060,51.4
22060,58
22060,65.4
22060,73.8
22060,83.1
22060,93.6
22060,105.1
22060,117.7
22060,131.4
22060,146.5
22060,162.9
22060,162.9
22060,181.1
22060,201
